tilsynsobjektid;orgnummer;navn;adrlinje1;adrlinje2;postnr;poststed;tilsynid;sakref;status;dato;total_karakter;tilsynsbesoektype;tema1_no;tema1_nn;karakter1;tema2_no;tema2_nn;karakter2;tema3_no;tema3_nn;karakter3;tema4_no;tema4_nn;karakter4
Z1006050006428191190ORWFH_Tilsynsobjekt;985129576;Abc Thai AS;Christian IV gate 3;;9950;VARDØ;Z1601191900543930239DMMAF_TilsynAvtale;2016/12511;1;19012016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050006431541127ZTBAM_Tilsynsobjekt;987710314;Barentsbadet;Presteveien;;9900;Kirkenes;Z1603091410240710239HWCEW_TilsynAvtale;2016/52893;1;09032016;0;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050006434881190BYVOH_Tilsynsobjekt;974705451;Bioforsk Jord og Miljø Kjøkken;Svanvik;;9925;SVANVIK;Z1603101104334460240VKYTZ_TilsynAvtale;2016/53687;1;10032016;0;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050006436841189GARTS_Tilsynsobjekt;984574525;Blå Måke avd. Indigo;Tollbugata 12;;9800;VADSØ;Z1601191901192180239ELFJZ_TilsynAvtale;2016/13119;1;19012016;2;0;Rutiner og ledelse;Rutiner og leiing;2;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;2
Z1006050006436841189GARTS_Tilsynsobjekt;984574525;Blå Måke avd. Indigo;Tollbugata 12;;9800;VADSØ;Z1603011326033910240KIYYJ_TilsynAvtale;2016/13119;1;01032016;2;1;Rutiner og ledelse;Rutiner og leiing;2;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050006436841189GARTS_Tilsynsobjekt;984574525;Blå Måke avd. Indigo;Tollbugata 12;;9800;VADSØ;Z1604111058534570240EAQOI_TilsynAvtale;2016/13119;1;04042016;0;1;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050006440031190LBRPG_Tilsynsobjekt;993274720;Frivillighetssentralen i Vadsø;Havnegata 3;;9800;VADSØ;Z1601181237469060239WTAAT_TilsynAvtale;2016/11046;1;18012016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;1
Z1006050006482291127HTKRU_Tilsynsobjekt;981321669;ILDTOPPEN AS;Austertana;;9845;TANA;Z1601251144264020240HSZTR_TilsynAvtale;2016/16639;1;25012016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006050006485181126DAVCT_Tilsynsobjekt;986773525;Kongsfjord Gjestehus;Veines;;9982;KONGSFJORD;Z1605120854358390239DPLNJ_TilsynAvtale;2016/105472;1;11052016;0;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050006540761126VHTHX_Tilsynsobjekt;971715359;Meieriet Restaurant;Strandgata 8;;9950;VARDØ;Z1601220912447640239RAXBV_TilsynAvtale;2016/12396;0;19012016;2;0;Rutiner og ledelse;Rutiner og leiing;2;Lokaler og utstyr;Lokaler og utstyr;;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
